Song,Title,Book,Length,Offset,Start,End
BOTH SIDES OF THE COIN  ,BOTH SIDES OF THE COIN - C Page nrb1,The New Real Book C.pdf,2,1,48,
BOUNCING WITH BUD       ,BOUNCING WITH BUD - C Page nrb1,The New Real Book C.pdf,2,0,50,
BREAKFAST WINE          ,BREAKFAST WINE - C Page nrb1,The New Real Book C.pdf,2,0,52,
BREAKIN' AWAY          ,BREAKIN' AWAY - C Page nrb1,The New Real Book C.pdf,2,0,54,
BUT BEAUTIFUL           ,BUT BEAUTIFUL - C Page nrb1,The New Real Book C.pdf,1,1,57,
CHAIN OF FOOLS          ,CHAIN OF FOOLS - C Page nrb1,The New Real Book C.pdf,2,0,58,
CHANGE OF MIND          ,CHANGE OF MIND - C Page nrb1,The New Real Book C.pdf,2,0,60,
CHEGA DE SAUDADE        ,CHEGA DE SAUDADE - C Page nrb1,The New Real Book C.pdf,2,0,62,
CHELSEA BRIDGE          ,CHELSEA BRIDGE - C Page nrb1,The New Real Book C.pdf,1,0,64,
COME SUNDAY             ,COME SUNDAY - C Page nrb1,The New Real Book C.pdf,1,0,65,
COMPARED TO WHAT        ,COMPARED TO WHAT - C Page nrb1,The New Real Book C.pdf,2,0,66,
CREEK                   ,CREEK - C Page nrb1,The New Real Book C.pdf,1,1,69,
CRYSTAL LOVE            ,CRYSTAL LOVE - C Page nrb1,The New Real Book C.pdf,2,0,70,
CUBANO CHANT            ,CUBANO CHANT - C Page nrb1,The New Real Book C.pdf,2,0,72,
DARN THAT DREAM         ,DARN THAT DREAM - C Page nrb1,The New Real Book C.pdf,1,1,75,
DELEVANS               ,DELEVANS - C Page nrb1,The New Real Book C.pdf,2,0,76,
DESAFINADO              ,DESAFINADO - C Page nrb1,The New Real Book C.pdf,2,0,78,
DESIRE                  ,DESIRE - C Page nrb1,The New Real Book C.pdf,2,0,80,
